"Average Prices and Volumes of Sales","","","","","","","","","",""
"By district for county - GREATER LONDON","","","","","","","","","",""
"2016","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2017-10-30","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BARKING AND DAGENHAM","375868","19","348746","221","318110","1250","204437","577","290185","2067"
"BARNET","1281328","347","784546","944","604119","873","422160","2749","584805","4913"
"BEXLEY","559940","224","403007","1092","337322","1083","223496","966","340781","3365"
"BRENT","994158","98","712112","352","732485","415","415936","1985","518493","2850"
"BROMLEY","820216","798","524578","1265","442339","1284","327745","1903","478054","5250"
"CAMDEN","5633906","24","3227342","56","1943042","229","823440","1844","1058674","2153"
"CITY OF LONDON","0","0","0","0","0","0","930890","136","930890","136"
"CITY OF WESTMINSTER","7458462","10","3639308","13","3000680","220","1423931","2524","1581513","2767"
"CROYDON","674693","521","461712","861","377538","1335","273344","2453","372065","5170"
"EALING","1380267","79","754122","439","619983","848","431468","1684","554898","3050"
"ENFIELD","1071548","156","606506","518","439292","1140","318068","1250","450297","3064"
"GREENWICH","946726","74","546563","363","471994","1002","403564","2318","446329","3757"
"HACKNEY","1513167","9","1231108","30","973055","342","530041","2079","603777","2460"
"HAMMERSMITH AND FULHAM","1896250","4","1810765","37","1525548","474","749324","1651","939440","2166"
"HARINGEY","3309698","32","1194553","104","750386","725","427951","1417","606049","2278"
"HARROW","1017036","220","579938","615","494016","480","337702","920","504798","2235"
"HAVERING","615110","352","409320","1192","343726","1092","235318","1086","358767","3722"
"HILLINGDON","799415","395","480314","844","424831","884","299799","1167","439687","3290"
"HOUNSLOW","864836","67","576759","497","559470","680","394059","1619","476079","2863"
"ISLINGTON","2112480","5","1589147","20","1398543","324","634139","1950","753390","2299"
"KENSINGTON AND CHELSEA","7120000","5","6476292","24","4261070","279","1427412","1492","1949760","1800"
"KINGSTON UPON THAMES","1056126","202","663113","581","518112","446","380079","934","547701","2163"
"LAMBETH","1207500","21","981309","185","888347","665","495699","3086","588167","3957"
"LEWISHAM","941749","45","673623","254","545663","1065","359723","2719","434165","4083"
"MERTON","1995225","92","930060","250","592352","1082","392645","1136","587127","2560"
"NEWHAM","567385","13","430780","50","412018","988","340756","1657","369506","2708"
"REDBRIDGE","798396","134","539628","515","452609","1220","288477","1087","423089","2956"
"RICHMOND UPON THAMES","1643917","181","1058273","498","845746","882","502761","1315","775955","2876"
"SOUTHWARK","1648521","35","1188706","95","801697","580","581361","2882","643400","3592"
"SUTTON","793414","240","492160","667","396637","849","267076","1446","387766","3202"
"TOWER HAMLETS","964000","5","732286","7","817492","206","509323","4321","524154","4539"
"WALTHAM FOREST","676539","36","544832","258","509421","1280","337894","1443","432404","3017"
"WANDSWORTH","2579981","48","1606418","147","1032166","1254","645047","4070","775441","5519"
"Total","1002373","4491","632072","12994","649508","25476","517862","59866","586072","102827"
