"Average Prices and Volumes of Sales","","","","","","","","","",""
"By district for county - GREATER LONDON","","","","","","","","","",""
"2015","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2017-11-06","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BARKING AND DAGENHAM","355547","21","293230","201","270459","1350","174317","676","244378","2248"
"BARNET","1296455","393","708064","1100","573794","913","392089","2555","567232","4961"
"BEXLEY","482815","252","355389","1225","297086","1209","186831","1136","295248","3822"
"BRENT","954291","103","626007","414","747830","534","386189","1862","506655","2913"
"BROMLEY","787837","974","473507","1430","395160","1456","291179","2107","441316","5967"
"CAMDEN","4734743","35","2797705","70","1873088","239","822723","2120","1036281","2464"
"CITY OF LONDON","0","0","0","0","1075333","3","930177","272","931761","275"
"CITY OF WESTMINSTER","3679264","11","5050544","17","2950658","243","1177909","2606","1360088","2877"
"CROYDON","622508","608","421404","1038","336868","1485","240550","2483","340833","5614"
"EALING","1049571","91","696490","515","599240","1025","410656","1859","524881","3490"
"ENFIELD","884866","146","554446","623","382640","1324","273116","1417","389809","3510"
"GREENWICH","935007","73","495848","444","432798","1123","354950","2423","402286","4063"
"HACKNEY","890312","8","1223436","21","944296","414","492205","2391","564790","2834"
"HAMMERSMITH AND FULHAM","1865357","7","1896320","32","1478288","613","733089","1763","940938","2415"
"HARINGEY","2824781","35","1166994","126","698321","902","403333","1626","569585","2689"
"HARROW","1011043","280","520855","724","456677","636","312557","1295","461805","2935"
"HAVERING","564665","424","358762","1349","293865","1258","200397","1108","317736","4139"
"HILLINGDON","707355","450","432251","1019","374656","996","267733","1266","394232","3731"
"HOUNSLOW","826868","76","579346","558","521067","851","378045","1717","461789","3202"
"ISLINGTON","2266664","12","2036953","32","1357583","408","578925","1884","743567","2336"
"KENSINGTON AND CHELSEA","7083750","8","9684740","21","3832598","329","1450267","1807","1912982","2165"
"KINGSTON UPON THAMES","1023742","260","593418","670","464330","510","342619","1113","502117","2553"
"LAMBETH","1065293","43","974853","229","829176","805","456813","3502","553897","4579"
"LEWISHAM","861606","72","642472","307","489104","1332","322986","2766","402980","4477"
"MERTON","2066790","98","960176","314","560654","1289","360420","1206","571514","2907"
"NEWHAM","425333","12","408780","53","347340","1186","294307","1581","319214","2832"
"REDBRIDGE","712562","169","500343","608","410634","1406","247672","1103","388060","3286"
"RICHMOND UPON THAMES","1630290","201","1030303","561","836846","1060","457806","1409","754501","3231"
"SOUTHWARK","1686874","40","1031229","164","737027","686","511843","3145","582886","4035"
"SUTTON","684477","302","450754","685","353553","887","245815","1383","358932","3257"
"TOWER HAMLETS","664444","9","747500","6","771351","280","461552","3780","483708","4075"
"WALTHAM FOREST","553200","45","486821","343","446200","1525","291835","1481","384365","3394"
"WANDSWORTH","2043556","53","1464127","170","977321","1340","550420","4319","687535","5882"
"Total","928571","5311","590703","15069","604264","29617","474768","63161","545399","113158"
